,reviews,sentiments
659,verified | past 2 year flown british airway twice ended exact predicament wait around day london heathrow 1 hour flight home newcastle . holiday plane staff fantastic customer service staff heathrow useless . first time february 2020 got stuck heathrow due storm ciara travelling home work airline fault . however handling situation staff airport joke . 4 5 staff ran kiosk queue 100+ unhappy traveller whilst could set mini kiosk unused gate get everyone quicker . crowd control one point queuing 2 hour plus staff decided shut shop . end 12 hour battle lucky enough get home last flight day sheer luck finally spoke someone . november 2021 decided give ba second chance booked go new york . since plane landed late lhr missed connecting flight could avoided staff heathrow assisted held plane short . rushed custom manage make gate 5 minute spare plane still terminal since taken luggage flight told go service desk refused let since moved later flight . layover 10 hour got guest service £12 food voucher spend phone number thought complaint hold 20 minute found complaint . considering fact could avoidable assistance given food voucher £12 seemed really cheap . day got home raised complaint expressing annoyed waited month response chasing find complaint staff working . got response said wanted 20-25 % back holiday . got apology told staff heathrow better term good compensation offered nothing !,"Based on the sentiment expressed in the text, I would rate it as -0.8 on a scale from 1 (very positive) to -1 (very negative)."
660,"return trip cape town durban club class highlighted inconsistency . outbound trip december good respect , whereas return trip disappointing . check fine , apart agent failing label one bag priority , resulting long wait third bag . lounge busy , complaint . went boarding gate check time indicated screen , sign activity , although screen still showing gate departure time . shortly thereafter two ground staff appeared approached said flight delayed 1330 1410 gate changed lower level bus gate . informational screen updated delayed time new gate . checked flight radar app , showed aircraft started durban , flown cape town , port elizabeth , back cape town , clear time hope time flight . fact looking schedule turn around time always going late . boarding eventually started 1400 departure 1430 , 60 minute late . drink service started 30 minute later , followed lunch . food good wine offering mediocre , club standard . price good wine south africa excuse serving poor wine . lunch service quick , crew disappeared behind curtain offering top drink unless specifically requested . overall disappointing flight lacklustre crew",-0.6
661,"used british airway first time admit impressed service ! firstly , want thank lady assisted weigh luggage . flight 16:10 , however due unforeseen circumstance , arrived airport around 15:40. convinced going miss flight queue long . stood minute realized would miss flight . went `` club check-in '' lady incredibly kind . believe patience even though fault . weighed luggage able board flight successfully . aware airline give free meal . got sandwich drink option choose vegetarian chicken . personally love free stuff ditching flysafair ( even though excellent service well ) near future , unfortunately . diversity ; first time flew 2018 admit never seen diversity amongst cabin crew staff however british airway different . staff kind friendly well . wonderful experience fly guy !",0.85
662,"recently unfortunate privilege travelling british airway detroit bangalore back . given long arduous journey multiple layover , decided spend extra get business class ticket . quickly dissuaded misconception special spent extra money business class . shoddy service rudeness insolence ground staff , experienced nothing frustration insecurity throughout journey . trump stranded london missed connection spending close 3 hour get front counter rebook flight . business class traveller bearing told stand one gigantic line wait turn . special passenger escorted club world check . asked lady , told u continue standing would come back get u counter freed . needless say never . finally got turn extra help ground staff running around frenzy rebooked . come back question : big corporation lie accountability ? would spend hard-earned money something gave nothing extra ? shame british airway complete disregard passenger . stop lying update promise !","Based on the text provided, the sentiment score would be approximately -0.9. The overall tone of the text is overwhelmingly negative, with the author expressing frustration, disappointment, and dissatisfaction with their experience while travelling with British Airways."
663,"flown ba many year today another poor experience ’ witnessed airline decline sub-par service . understand ’ tough two year airline ba ’ decline started pandemic truly plummeted . enormous queue jfk ba check-in terminal 7. even priority lane standstill least half hour people started complaining ’ miss flight . terrible efficiency check-in counter . time , one member staff processing people whilst ba staff stood around phone chat . one member staff stopped processing man desperately trying catch flight order start processing someone else jumped . interior plane generally filthy , crumb , bit food , stain , mark around seating area . give single wet wipe used think hand see passenger wiping surrounding area . good courteous member staff also awful member staff behave unprofessionally . particular flight one cabin crew swearing colleague back plane apparently ’ pulling weight . poor . used proud ba flyer feel like ’ clinging airline status ’ actually provide better service day .",-0.8
664,"entertainment selection sub par , minimal selection new release new release . food left something desired . two seat row earphone jack ’ work . plane either uncomfortably hot cold , find medium temp . overall basic generic airline .",-0.6
665,"straightforward friendly baggage drop . south lounge , polite conversation used lounge , indication busy nowhere sit considering even 1.5m distancing . roam entire lounge , lugging bag carpeted floor , success . gave 20 minute decided try another lounge . arrived everything actually right front u actually found somewhere sit 5 minute looking around . menu basic egg , hash brown breakfast cake muffin . ordered frittata hungry . made way self-serve coffee counter basic coffee straight away put fly hovering croissant fruit . flight departing gate take train rub salt wound told dxb flight usually leaf ’ gone lounge near . looking individual cubicle honest top reason choosing business class gave heart . however , door close till take . asked artisan crisp biscuit menu took hour . lunch came another almost hour . asked could swap pudding crumble person , said surely try clearly ’ , apology even trying . portion small , plus saw quite fellow passenger sleeping lunch asked could finished . chocolate lindor . nothing special amenity , toilet different ’ expect , amenity kit basic , duvet seemed well used . worth almost 4 time amount regular ticket . naive trust claim world class standard .",0.1
666,"verified | arrival warsaw airport check zone one announced flight board - guess ask random people go . finally found check-in desk , luggage drop check-in appalling . took u 1.5 hour get bag checked ( half way queue ) . whole process disorganised slow , really last thing want looking 2 small , impatient kid . lady warsaw airport supposed direct passenger correct queue useless . one check-in desk euro traveller / club europe , one bag drop one check-in . flight left delayed pilot managed catch landed small delay , crew plane nice attentive . luckily air experience much better , sort ground service warsaw airport .",-0.6
667,"glasgow one check desk open . huge queue business check . took close hour bagdrop . getting onto aircraft glasgow , hello crew getting . normally find ba cabin crew nice . breakfast tired looking croissant . used ba lounge terminal 3. keen new table service . poor choice miniscule portion . lounge staff nice direction . arrival lhr coach transfer t5 t3 . packed like sardine . much social distancing . flight lhr pisa delayed boarded sat aircraft another 2hrs 30 min . captain advised u tow truck push back eventually arrive baggage handler load container . drink anything offered waited . food even worth mentioning . far club europe go 's worth extra cost . priority baggage mine last onto belt pisa , seat economy seat centre one blocked . first officer summed arrived pisa- sorry folk trip pretty poor show ba , right . return trip hogmanay left time . 've never flight pisa left time . pisa lounge nice enough food choice laughable . board gave food miss . heathrow back glasgow flight left time . food antipasto sort declined . case last . club europe really worth money economy cabin . would thought ba would food onboard service since cabin .",-0.6
668,"two year unable fly second home south africa covid , fantastic back board ba flight cpt , club suite seat ( 1k 2k ) boot . seat huge improvement old yin-yang cw seat term privacy , ease access ife screen , cabin still felt densely occupied seat uncomfortable lying flat . storage mixed blessing , , three rather fussy little compartment rather decent sized drawer old cw , meaning laptop would stored . food onboard woeful , although serving three course time least mean dinner service n't dragged . cabin crew went business dutifully little enthusiasm , usual queue toilet . flight uneventful landing less time . cpt efficient arrangement checking form immediately leaving airbridge queue immigration . good back !",0.1
669,"paid $ 1189 round trip flight london back premium economy . bumped seat flight back , told 'd issued refund . instead issued refund contact several different method , phone , website , twitter , finally email . told 'd getting $ 229.16 back , less half $ 589 paid upgrade . instead refunded $ 14.58 . emailed told 'd getting $ 115.16 back . emailed saying n't add original amount told getting simply replied `` 's final amount . '' turn meant taking back initial refund $ 14.58 getting $ 115.16 total . emailed asking changed amount 've yet respond . called morning explaining politely calling hung .","Based on the text provided, the sentiment score would be approximately -0.9, indicating a highly negative sentiment."
670,"nice return flight ba . add previous review , really like ba organises boarding disembarking process group , super comfortable 100+ passenger ’ jump sweat queue gate even . a320 new cabin fresh feeling nice mood lighting . row 1 enhanced legroom thus , make 1-hour hop comfortable . , amazing staff , even attentive accommodating gold level passenger : always coming asking help needed . lovely humus , beetroot quinoa salad food . great wifi really competitive pricing + think great also food / alcohol offered buy online travel class . domestic t5 arrival breeze .",0.8
671,"overall , lovely flight ba edinburgh christmas holiday . lounge ok , quite worn , although staff food nice ( much better travelled last time ) . although plane seemed old , cabin felt fresh , clean , temperature perfectly adjusted liking ( around 22-23c ) funky lighting . although seat economy , pretty comfortable 1-hour hop ( much better air france ) together enhanced legroom row 1 wonderful ( gold card passenger , ba automatically reserve row 1 club europe enhanced legroom think great touch ) . crew ( especially purser ) phenomenal : extremely friendly , adaptive need professional , leaving pleasant flight aftertaste . afternoon tea catering lovely short flight : sandwich scone tasty . actually fan well-presented , however simpler meal board ; opinion , tastier give feeling trust . quick hop , ba ticked mark ( comparison , cdg-lhr leg air france presented ‘ chic ’ cold starter , however , , looked bit complicated , except duck terrine , rather unappetising / klm served super nice simple chicken caesar paper box ) . one big drawback first wing experience t5 : queue long decided go regular line instead . ’ quite disappointing given much money regular flyer / company spend earn gold status . nevertheless , flight , importantly , crew completely negated drawback . flight £200 one way ( £600 return incl . transfer kirkwall ) pretty expensive , however , service seemed like worth money .",0.75
672,"verified | first one smoothest uk u flight taken . boarding appalling family kid queue reason . called family front decided board business premier class first appreciate call family ? worse seat ever legroom appalling . entertainment system basic , support bluetooth headphone , usb support device movie although website say yes headphone input good useless . crew nice sorry missed .",-0.6
673,"flying covid always challenge . ba ’ verifly app worked perfectly on-line check-in seamless . bag drop t5 seamless boarding done efficiently zone . although older 777 refurbished everything new clean . cabin crew credit airline – smartly dressed , friendly keen please . offered two drink lunch served , drink meal . food acceptable given tasty sandwich landing . obviously economy , 8 hour flying , arrived relaxed unstressed .",0.8
674,"flew nashville via chicago first . excellent check security . lounge good . food drink choice good . first cabin 787 8 seat . comfortable seat , entertainment little clunky . cabin service top banana ! ! food drink choice taste amazing aircraft . special call stewart tim . credit ba .",0.75
675,"low expectation business class ba european route flight even worse . t5 mess 90 minute queue check bag ton people arriving late . check guy seemed clueless turkey need pcr etc . ba lounge joke went got sushi restaurant - mulled wine crowded lounge bad round . boarding chaos left hour late . a320 jammed full business class little legroom middle seat free , might well fly low cost carrier seat . inflight screen overhead screen . although curtain closed economy people used forward bathroom crew sending back . salvation pretty decent shepherd pie red wine otherwise would avoid flying ba . next day flew aircraft type bahrain another carrier proper business class seat flight screen , headphone , good food drink , arabic coffee , date gracious service . ba hang head shame .","Based on the text provided, I would assign a sentiment score of approximately -0.8."
676,"'ve used new club world first time delighted new configuration . privacy afforded much better , in-flight entertainment storage brilliant . unfortunately , lethargic crew ever meal served basically disappeared . wine warm , even forgot offer wife drink lunch , also pair used sock storage cabinet . heathrow nightmare often happens . 5 minute early rewarded 40-minute wait gate , 2.5 hour wait luggage , absolutely shocking covid time .","Based on the text provided, the sentiment score of the text would be around -0.4."
677,"flight yesterday 18/12/2021 due take 1215 , soon reaching gate first passenger called pre-boarding , gate staff said aircraft given permission land aberdeen due poor weather . airport information kept telling passenger go gate hour half passenger learned flight cancelled via ba app , join line customer service desk , took two hour reach desk case , reaching desk told automatically booked following morning flight offered overnight hotel . meet need requested cancellation get bag back , told cancel booking ba app , could desk . directed via gate collect bag , meant go via uk border reach baggage belt , waited bag 3 hour automatically stored bag following day flight . ba staff rude dismissive customer complaint length time bag taking arrive , like fault cancelling alternative flight offered next day .","Based on the text provided, I would calculate the sentiment as -0.6."
678,"first time flown ba business class 777 aircraft hopefully last . firstly , check-in crew great - friendly helpful . manual check-in , machine , always much nicer . complaint department . food journey adequate choice starter , desert 3 choice main course , business class seating 2-4-2 alternate seat facing backwards , centre seat . , either facing stranger aisle seat , put screen claustrophobic bubble . see . see passenger . slightly better wife , would utterly awful shut space stranger . nowhere put glass , bottle water , book , glass within easy reach , unless keep table . business class seat tuck bag seat front take landing , nowhere put bag , everything go overhead locker , missing first 4 row centre seat , much storage space . row 1 get climb leg leg rest person aisle seat row 2. travelling solo centre seat always case , normally , couple , take aisle centre least climbing partner 's leg , stranger . 5ft 10 could manage . wife 5ft 4 could get without disturbing passenger row behind . reading light hopeless shine book light controlled handset work . utterly awful design certainly make u avoid ba future , possible .","Based on the text provided, the sentiment can be calculated as -0.6."
679,"claimed mile right trip beginning august , took almost 4 month reply surprise reject request without providing reason . sent complaint per e-mail still n't get reply . 4.5 month still waiting answer . furthermore , many people wearing mask asked flight attendant allowing people wear mask said medical exception . ordered drink replied needed pick , business class customer service .","Based on the overall tone of the text, the sentiment score of this text would be around -0.7."
680,"british airway taking reservation cancelling flight without giving reason . plan needed cancelled flight . ba nothing ease process offered absolutely explanation flight cancelled , going travel ba may travel year .",-0.9
681,"flight booked january 2022 , send email beginning december informing flight changed . second flight moved next day , making layover 26 hour , called , told cancel . kind answer ? mean still need fly going , booking another airline closer day flying expensive . big inconvenience n't even get apology , cancel !",-0.7
682,"future travel voucher singapore london thought would perfect flight relocate home . 'd impression simple process - call book onto route 'd previously paid ( previously cancelled ba ) - new date . wrong . first , pay top flight - significant amount , equivalent around value original flight redemption ticket part cash part airmiles . price increase fact flying peak time . extra charge also meant overall paid face value ( online price time ticket ) flight , well still keeping airline 'd redeemed . explained online price redemption price differ 's system work . however , taken refund would lost lot money administration fee . desperate situation losing hundred pound matter , cut loss booked flight . least thought . call centre agent - previously explained working remotely manager supervision ( way escalate issue ) - took card detail ( including full card number , date , cvc code ) - explained flight ticket receipt payment extra bag would follow . week later , still ticket , detail , charge card , booking reference - nothing . called confirm . call centre agent reached apologised advised would escalate booking team took card detail . , waited another week , sign booked onto flight . thus began cycle increasingly frequent desperate call british airway repeatedly failed simple task booking flight , spanning 6 week . friday monday flight , sat tear another ba call centre agent promised get flight book extra bag . next day - around 48 hour due fly , finally got booking reference yet still failed charge add extra bag . luckily , noticed check detail managed add bag online . whole experience stressful , costly , resulted spending hour day phone listening british airway hold music . furthermore , significant cutback ba inflight catering service due covid , resulting smaller portion , leaving quite hungry long flight . though 've flown ba repeatedly problem past , service gone significantly downhill .",-0.7
683,"extremely disappointed trip experience . gold mvp 100,000+ miler alaska airline . ticket travel wasnt linked alaska airline . speaking alaska representative , confirmed due lack effort british airway accomplishing task . could look lack effort even though frustrating . main issue ticketing flt connection process . departed egypt morning connecting ticket hand . arrived usa apparently alaska ( 2449 ) flt changed 5 hour later flight completely different airline ( delta ) . without notifying customer . found trying go security seattle , said ticket valid . go alaska airline find issue . explained british airway rebooked delta . took 30mins customer service . go delta sort mess . frustrated .",-0.8
684,"british airway seems happy encourage spread covid . took 7am flight t5 heathrow paris cdg 22nd november , boarded bus remote gate . bus driver insisted packing bus maximum possible load , standing door telling customer squeeze right leaving terminal bus full . result passenger bus packed tight maximum facial distancing 15cms ! second coach aircraft followed minute later 15 customer . shameful ba ground staff exercise control nothing check bus boarding process , whilst flight okay , serf underline ba seem happy disregard covid-19 safety protocol airport environment . contrast , recent air france iberia flight , ground staff much disciplined actually try control customer . maybe underline laissez faire attitude covid prevails uk .","Based on the text provided, the sentiment score would be around -0.8, indicating a highly negative sentiment."
685,refused early check told come back 2:30pm 5.05pm departure . staff 2:45 staff member inexperienced poor attitude taking lot time passenger .,-0.8
686,"check ok , document scanned without problem . flight delayed 50 minute due crew member stuck m25 . airline fault . 3 replacement crew found boarding onto new a321 neo went ahead . club europe cabin 12 row economy seat middle seat blocked . 5.11 tall , fit ok , however anyone taller might struggle limited leg room . inflight service stop - start affair , nothing write home . crew failed work team . go galley get extra drink . even served cool coffee filter paper bottom cup . landing disembarking went without hitch included bus ride terminal . ba 's finest hour .","Based on the text provided, the sentiment score is approximately -0.3."
687,"arrived south airport tenerife 2 hour departure , iberia opened check . even full flight waiting , usual check process post covid took place , usual error paperwork slowing thing . passing security fine iberia lounge 160 person capacity serve drink simple selection cold food . boarding done 15 meter long bus ride plane parked gate . sure . plane new a321 neo , 14 row club seating . seat ok 4 hour flight , anything longer would expect club europe leg room couple inch ’ knee seat front . food drink good , served steel cutlery glass tumbler . good selection wine go average salad . overall ok experience great cabin crew .","Based on the overall text provided, the sentiment analysis for this text would be approximately 0.45, leaning towards a slightly positive sentiment."
688,"verified | check-in slow . app check-in could check vaccine qr code online . check staff friendly . ba silver card holder stockholm lounge use . boarding fine , plane worn . seat close together row 30 even worse . crew really professional happy seemed . arrival heathrow total shamble . ba777 landed 12.50 , gate waited waited 25 minute . ba jetty ’ work . ba step . slow leave plane moderately mobile wheelchair passenger struggle step . everyone patient supportive terrible watch . ba skimping lounge , plane condition gate . crew good , seat uncomfortable .",-0.3
689,"1h queuing check-in desk , told booked seat available . sell seat ?",-0.6
690,"verified | outbound , seated row 10 , told run chosen food option ( shepherd 's pie ) , settle gnocchi . steward temerity blame food supplier - ba could get better one ! return , boarding back , priority , , seated row 12 , last half glass champagne ( one passenger row 12 declined ) . food rigatoni vegetable . overall , penny pinching ba club class . dreadful - u .",-0.7
691,"flew club europe london - tenerife south 5 november returned 12 november . club europe seat comfortable - pay lot exactly leg room middle seat 3 empty spread tiny bit . fare would hope least couple inch leg room - would make huge difference . least get meal ( outbound cottage pie inbound sausage mash ) bad drink service . however , inbound ba white wine - apparently problem supplier . pre-book seat due extortionate fee pre booking . airline charge pre booking seat premium class . back flight : new , nearly near a320 , smooth timing issue good respect . good check experience tenerife south - tacked onto end large tui check queue . also great lounge - vip lounge merely adequate ok seating hour two . would recommend - still reservation exactly ba trying become .",0.3
692,"3 hour standing line boarding pas . airline would allow obtain boarding pas electronically . said flight overbooked adult daughter got bumped flight . yes , used verifly . flight delayed least 30 minute . unorganized slow ! getting seat advanced performed like airline . wait even though paid . avoid airline cost ! absolute worst !",-0.8
693,"trying get hold ba change return flight past week . cant change online 'm flying another city service unavailable online . 've tried live chat several time waited 2.5 hour told 's one available ( business hour ) . tried calling line always drop end . customer service non existent . however , course call `` new booking '' line someone immediately pick course , however ca n't help put anyone apparently . shambolic excuse airline n't deserve national airline . n't problem 've flying throughout covid ( work unfortunately ) . 's easier change flight domestic latin american airline n't even speak spanish .",-0.8
694,"whole experience sickening , 3.5 grand spent holiday customer service shamble . drop menu drop menu stating wanted complain . would even allow add tier point . flight london marred problem . london received upgrade email fast track vip lounge due amount spent . never happened treated pauper wherever showed email . change plane side airfield . resort ( riu paradise beach ) riddled bad food , drug bad attitude complained fobbed knew ba staff sound . return journey shamble delay finally arriving back manchester completely exhausted needing another holiday . light end horrid tunnel virgin atlantic started route month . know better option .",-0.8
695,"verified | poorly mismanaged service time . disappointed huge queue due unavailability attendant counter , wait around 1.5 hour check . came boarding , wait passage 15-30 min . finally thought thing better , reaching london next boarding pas scanned . around 15-20 passenger including wait 7.45 1.40 next flight . boarding next flight , space keep luggage . journey really hectic expect ba .",-0.75
696,verified | currently dreading flight ba considering hung mum customer service line twice reply via called “ live chat ” . wanted find two flight booked mum name plus flight dad one . wanted able make name change . absolutely impossible . website unusable . customer service shamble . ’ change name . told ’ done booking carefully . well ’ going people making mistake . maybe change website make change flight . like hello ’ 21st century . button saying “ change name ” . anyways point . woman phone started raising voice u ’ making clear . gave towards end call said “ thanks help ’ deal la- “ got cut . 50 minute got nothing . say good luck .,-0.8
697,another ba shuttle flight good one . fantastic flying weather would say 40 % load factor . good professional crew . friendly complimentary snack arrived early worry . getting gate t5 make easy exit . still cut competitor although bit expensive make total product delivery .,0.8
698,"flight larnaca lhr . check ok. lounge aspire lounge shared , basic ok. flight left 20 minute late made time en route . 13 row business class cabin a321 . service ok quite expensive product offered . ’ long sector food ’ great . drink ok staff kept going lack glassware , really interested ’ honest ’ paid lot money . staff friendly responsive could . club europe fine flight less three hour longer . seat comfortable . dreadful something ba think .","Based on the text provided, the sentiment score would be around 0.1, indicating a slightly positive sentiment overall."
699,"upon checking club desk lisbon airport passenger locator form found incorrect reference number day 2 test check agent denied u boarding , causing wife , recently spent long time hospital u.k. , much distress . job course , requested call supervisor . check manager , goncalo ribeiro , came rescue . identify problem spent half hour time arranging new supplier day 2 test , uploading onto plf ’ , verifying flight documentation fast tracking u check-in . gate boarding wish u comfortable journey ; could asked better service . professional ambassador ba !",-0.5
700,"club europe british airway . outstanding wonderful ba back . welcome board warm sincere . flight attendant helpful , friendly professional . great update flight deck . super lunch good choice wine . ba best . hopefully excellence also reflection new ceo departure alex cruz .",0.85
701,"verified | good flight boarding chaos , gifted beautiful a10 gate lhr t5 ( , bussed plane ( first time 've used bus gate ) . a320 t3 gate jetway , nevertheless 168 passenger ( full flight ) boarded via step - caused hour waiting `` gate '' well baggage taking age . also seat recline g-gatl ( 9f ) broken .",-0.4
702,"usual ba economy trip , pleasant crew . complimentary snack water small bar service reasonable price . fan new neo aircraft . cramped seating uncomfortable . armrest seat tiny thin short length offer little support two people enough one . aisle width seems smaller going toilet back seems awkward . done transatlantic aircraft another airline ’ . ba still offer good product good value priced . time good value .",0.2
703,"check easy , security quick , lounge fine . lounge service returning pre pandemic day self service allowed ( great ) . flight fine , wife son felt breakfast like old style economy food perhaps agree . nothing bad food nothing great either . drink fine proactively served . arrival efficient pcr testing needed fast turnaround . baggage quick",0.3
704,"verified | happened british airway ? whole pre-flight experience prehistoric , appear gone back 80 ’ make passenger physically queue manually check adding hour journey mention ridiculous bunch people together big slow queue . premise ’ due covid precaution ! airline making passenger ’ even open desk 200 passenger two check staff , like post office 1980 ! apart aircraft cabin crew literally everything else airline disintegrated point ’ reliable enough use business purpose attitude towards exec club member loyal customer disgrace . ’ chosen insisted upon ba business personal travel decade accumulated lot air mile , also one two ba amex companion voucher cost 40k spending earn tell much ’ supported airline despite shocking decline recent year . last year ’ booked 6 ba flight , 1 personal 5 business flight two colleague taking money wasting time planning itinerary , 5 6 cancelled forcing tear plan pay double last minute alternative airline , personal one st lucia cancelled return 2 day flying forcing cancel holiday fly back immediately risk stuck 6 week . cost £2500 holiday offered nothing way compensation ! couple week ago noticed one amex companion voucher apparently going expire nov 12th year tried speak . world largely closed since march 20 assumed would straightforward extend voucher time holiday destination properly open , mention experience dealing routinely cancelled flight reluctance risk third person another holiday , 2 day going around circle speaking really bad english people empathy even live country finally got someone ba told ’ extend voucher ! ’ even shareholder level treatment disrespect spend another penny airline , ’ even going bother using second voucher ’ cancelled ba amex . work music business managing tour band reckon book 1000 flight year satisfaction knowing attitude cost ! roll inevitable ba administration least somebody else buy cheap start rebuilding world favourite airline ridiculed . ’ thought ba could ever make ryanair look like attractive option .",-0.9
705,"returned amazing holiday felt compelled write review . flight generally torment nervous flyer , however , occasion absolute delight . inward outward journey , impressed professionalism , friendliness kindness cabin crew . economy treated respect service would expect first class cabin . particular thanks must go amir , absolute joy credit british airway . wait fly huge , thank much .",0.85
706,"plane clean air quality good . timing perfect . seated 15 k. begin , difficulty using button get leg rest well push back seat . requested cup tea drink service started , told tea would served dinner . press loght twice indicate need nothing happened . dinner , tea service . get go galley ask cup tea . hand soap washroom . however , way london toronto , experience good one . however , return flight .",-0.2
707,service excellent . cabin staff attentive efficient . food drink good . seat new suite extremely comfortable additional privacy really nice . overall enjoyable flight .,0.8
708,"verified | booked paid thought business class seat flight athens . got premium economy seat . first nine row business class seat , row 10 16 premium economy cabin ( added business class section ) less comfortable seat ’ fully recline , unlike seat row 1 9 ( row 11 ) . case snobby , simply point principle clear case ba mis-selling . known prior would paying business class price seat less comfortable business class passenger flight , ’ booked . complained board along several passenger also resented scammed way . also made formal complaint ba fobbed . apparently long running scam , ’ know get away .",-0.8
709,"terrible customer service . booked flight covid . ’ go , still ’ go border still closed . ’ given option told take voucher . job plan travel refuse give money back although booked flight cayman still ’ able go . provide service paid refuse refund . sympathetic understanding . voucher valid another two year , wonder many flight go . wonder many regulation . ’ good customer feel deserve better .",-0.9
710,"first flight pandemic , understandable difficulty facing airline . check-in longer normal due vaccine check passenger locator form etc . return flight , total mess . two counter open economy one business . argument regarding vaccine check , two ba staff contradicting . took hour ten minute check , resulting flight delay . board , expecting great service . seating extremely uncomfortable , 29 inch pitch 17 inch wide seat - bearable hour half flight . board service packet crisp small bottle water another , eye contact handed . however , pleased disembarking passenger let group , despite idiot decided stand get hand luggage aircraft still taxing gate . cabin crew manage force back seat close locker .","Based on the text provided, the sentiment evaluation would be approximately -0.7, indicating a more negative sentiment overall."
711,"lca lhr club europe . quick check-in lca speedy passport control security . aspire lounge clean spacious reasonable buffet food drink . boarding group pushback time . ce stretched back full 15 row single toilet struggled . drink meal service efficient despite many row , vegetarian option usual pasta splodge reminiscent economy yore . onboard w-fi adequate , rather slow , n't charged business class . arrival ahead schedule . disembarking en masse e-gates surprisingly quickly . overall , flight typical post-covid standard short-haul business class .",0.2
712,"verified | booked flight heathrow friday 27th august 2021 fly manchester airport . arrival heathrow check , british airway staff informed booked flight seat name mistake . offered pay fee get second seat changed sister 's name british airway refused u board sent u home . however , staff member spoke desk promised email u flight voucher would get shortly could fly another time ba since offer refund . never received flight voucher . chased numerous time phone ba staff said error flight voucher would sent . record staff member spoke promised voucher , say 'no show ' inaccurate . sent numerous email ba explaining happened asking form promised voucher . response emails/messages . one ba staff member phone said track lady spoke heathrow ask remembers . ludicrous take name doubt would remember since see hundred ba customer day .",-0.6
713,"flown ba many year never alternative . booked paid club class flight . n't receive meal drink onboard , crew unorganised . delayed ground 30 minute prior departing plenty time prepare in-flight service delayed air . commenced service , albeit slowly , abandoned closed service altogether . crew never even decency speak u apologise person even tannoy . complained ba received apology email usual `` fell short standard '' generic speech , offer partial refund avios compensate lack service .",-0.8
714,crew denver airport top notch ! impressed customer service . patient courteous . thank amazing .,0.9
715,ordinary ba domestic shuttle flight belfast london heathrow . usually uneventful except cabin crew announcement three time advising people complete uk passenger arrival form gov.uk website risk prosecution . people challenged statement rebuked . ba cabin crew adamant requirement . regular traveller amongst u knew incorrect advice . people anxious departing aircraft . crisp snack water offered nice touch . sky cafe still sale - quite sure given covid protocol uk mainly relaxed . ba still far best operator ulster england .,-0.3
716,verified | ’ book six flight ba recently . either cancelled significant time change . latest flight late heathrow missed connecting flight even though ’ scheduled around 2 hour flight . ba staff heathrow rude generally clueless part . ’ get u destination within 24 hour scheduled arrival time . booked easyjet flight gatwick instead pay get gatwick . complaint registered several week ago response far . perhaps ba backlog complaint way performing moment . ’ embarrassment national flag carrier comfortably performed budget airline appears case moment .,-0.7
717,service got super inconsistent ba management diverted flight unprofessional lacked shred empathy . flight london business class asked mini bottle champagne always treat cabin crew member said ’ give bottle glass . however crew member giving bottle passenger row one two 3. asked top staff said finished business cabin case would run . crew pick choose one passenger another change service fair . got diverted volcano ash impacting tenerife needed refuel gran canaria 20 min tenerife diverted malaga . got e mail clearly stating meal accommodation crew also said - got hotel dinner u room service . breakfast eight bus airport also eight could 7.50 grab something buffet run coach . diverted flight got dinner breakfast .,"The sentiment of this text would be approximately -0.7, indicating a mostly negative sentiment."
718,"terrible service club world . indifference lackadaisical attitude . hardly service . everything asked gotten . asked cup tea flight say .. 'whaa ' said cup tea said yes ... asked wanted milk sugar . brought lukewarm tea 2 sugar sachet , spoon stirrer . pushed bell stirrer wait full 3 min someone came , eventually spoon drink cold tea . seriously ba ... ? welcome back people fly ?",-0.9
719,lhr lca . gallery lounge chock-a-block first thing wednesday morning t5 seemed bustling pre-pandemic . boarding group efficient flight almost full . superficially cabin seemed clean although long hair pillow gave game away . expanded club europe stretching back 12 row - new norm ? departure time . good drink service sequed smoothly lunch . post-covid lunch remains restricted - & co must horrified 're produce : miniscule salad worst gnocchi dish 've ever tasted . wi-fi access n't free business class passenger : £4.99 hour intermittent service excessive . arrival ahead schedule issue passport control lca .,0.1
720,"pleasant flight lisbon ! full flight left 10min late taken aircraft bus heathrow gate staff allow much hand luggage aircraft . however , air great service 3 male crew big club class cabin . friendly efficient crew even demanding obnoxious passenger . late breakfast/brunch served tasty . contrast iberia crew ( lisbon/madrid/london ) cold unprofessional .",0.7
721,"check staff economy . never experienced . business passenger strolled , economy passenger left standing 90 min plus .",-0.6
722,"refund flight cancelled 14 month ago provided ticket voucher valid 30 april 2022. ticket bought edreams june 16 , 2020 flight july 7 , 2020 , geneva são paulo london ( british airway ) , round trip . lhr-gru flight cancelled without explanation . contacted edreams ba number time last 14 month refund 461 euro paid .",-0.2
723,stranded lounge n't allocated seat . flight booked month ago . n't want use forced emirate n't available . advise traveler shun look customer friendly option .,-0.6
